gene,cluster,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Tjp2,Deiters_3rd_row,1.82E-22,0.367999161,0.36,0.113,4.21E-18
Plpp3,Deiters_3rd_row,1.17E-13,0.367600503,0.466,0.22,2.70E-09
Chd7,Deiters_3rd_row,6.93E-09,0.367237803,0.435,0.243,0.000160278
Sfrp1,Deiters_3rd_row,5.56E-09,0.36661234,0.969,0.92,0.000128639
Slc22a23,Deiters_3rd_row,1.81E-13,0.366489988,0.311,0.121,4.19E-09
Ptgr1,Deiters_3rd_row,2.41E-27,0.366000267,0.28,0.065,5.58E-23
Snx22,Deiters_3rd_row,1.43E-24,0.364112797,0.28,0.07,3.31E-20
Bloc1s2,Deiters_3rd_row,2.16E-08,0.362641464,0.627,0.435,0.000500518
E2f5,Deiters_3rd_row,1.14E-07,0.36260529,0.429,0.247,0.002639771
Notch1,Deiters_3rd_row,2.77E-11,0.36189061,0.559,0.311,6.40E-07
Etnk1,Deiters_3rd_row,3.66E-19,0.361794037,0.429,0.159,8.48E-15
Efna3,Deiters_3rd_row,4.76E-11,0.361516315,0.335,0.15,1.10E-06
U2af1,Deiters_3rd_row,3.06E-10,0.36059388,0.839,0.672,7.08E-06
Agap1,Deiters_3rd_row,1.80E-11,0.35862408,0.335,0.149,4.17E-07
Cmtm3,Deiters_3rd_row,2.69E-25,0.358277984,0.28,0.068,6.22E-21
Gnai3,Deiters_3rd_row,2.16E-13,0.357472618,0.472,0.228,5.01E-09
Sall2,Deiters_3rd_row,2.40E-12,0.356582556,0.497,0.26,5.56E-08
Rsl1d1,Deiters_3rd_row,1.83E-08,0.355291988,0.665,0.461,0.000423026
Eif5a,Deiters_3rd_row,8.31E-18,0.355266118,0.969,0.934,1.92E-13
Syne2,Deiters_3rd_row,1.72E-13,0.353173369,0.516,0.259,3.99E-09
Tcf4,Deiters_3rd_row,1.27E-12,0.35271995,0.342,0.141,2.94E-08
Yrdc,Deiters_3rd_row,7.11E-12,0.351959429,0.708,0.462,1.65E-07
Srsf11,Deiters_3rd_row,1.88E-07,0.351021319,0.702,0.524,0.004338365
Mrpl34,Deiters_3rd_row,1.85E-12,0.350986836,0.602,0.336,4.28E-08
Slc3a2,Deiters_3rd_row,8.86E-08,0.350911157,0.534,0.351,0.002049097
Bicdl1,Deiters_3rd_row,2.61E-32,0.349005778,0.273,0.055,6.05E-28
Nisch,Deiters_3rd_row,1.19E-09,0.348913037,0.82,0.618,2.75E-05
Nop56,Deiters_3rd_row,2.41E-10,0.34812507,0.429,0.224,5.57E-06
Pgls,Deiters_3rd_row,3.75E-11,0.348118527,0.826,0.663,8.69E-07
Tulp4,Deiters_3rd_row,6.71E-09,0.3479311,0.522,0.318,0.000155281
Sfxn1,Deiters_3rd_row,5.03E-10,0.347712847,0.522,0.298,1.16E-05
Fabp5,Deiters_3rd_row,2.35E-18,0.347118687,0.335,0.114,5.44E-14
Ntm,Deiters_3rd_row,6.14E-19,0.345141563,0.335,0.11,1.42E-14
Tmem9,Deiters_3rd_row,6.53E-09,0.343601052,0.776,0.559,0.000151152
Kif21a,Deiters_3rd_row,5.45E-15,0.343332711,0.385,0.155,1.26E-10
Eif4ebp1,Deiters_3rd_row,3.03E-19,0.342615616,0.292,0.088,7.01E-15
Tesk2,Deiters_3rd_row,2.00E-15,0.342602556,0.286,0.098,4.62E-11
Actn4,Deiters_3rd_row,3.45E-11,0.342511406,0.72,0.485,7.98E-07
Tsen15,Deiters_3rd_row,2.91E-12,0.340721168,0.745,0.467,6.73E-08
Alkbh1,Deiters_3rd_row,2.96E-08,0.340642235,0.472,0.287,0.000685621
Strbp,Deiters_3rd_row,3.22E-14,0.339951822,0.553,0.278,7.46E-10
Mtap,Deiters_3rd_row,1.29E-13,0.339405059,0.298,0.113,2.99E-09
Ivns1abp,Deiters_3rd_row,2.83E-12,0.338808805,0.571,0.315,6.54E-08
Wnt7a,Deiters_3rd_row,7.12E-19,0.338199629,0.348,0.116,1.65E-14
Lsm4,Deiters_3rd_row,1.79E-10,0.337936451,0.752,0.53,4.15E-06
2700060E02Rik,Deiters_3rd_row,9.04E-12,0.337685474,0.944,0.925,2.09E-07
Ppp2r3c,Deiters_3rd_row,3.01E-20,0.337133352,0.41,0.143,6.98E-16
Tmem51,Deiters_3rd_row,8.51E-19,0.33640513,0.335,0.111,1.97E-14
Neu1,Deiters_3rd_row,3.43E-12,0.333506361,0.398,0.185,7.93E-08
Gm16286,Deiters_3rd_row,3.03E-09,0.333327148,0.727,0.493,7.01E-05
Trak1,Deiters_3rd_row,4.20E-22,0.333123473,0.323,0.095,9.73E-18
Capzb,Deiters_3rd_row,5.41E-09,0.332912106,0.832,0.702,0.000125179
Dctpp1,Deiters_3rd_row,1.11E-07,0.332760648,0.534,0.346,0.002562135
Phb2,Deiters_3rd_row,1.44E-09,0.33246645,0.894,0.732,3.33E-05
Pcp4l1,Deiters_3rd_row,1.53E-16,0.332191989,0.261,0.079,3.55E-12
Mphosph8,Deiters_3rd_row,7.98E-09,0.331012464,0.441,0.24,0.000184599
Camk2n1,Deiters_3rd_row,4.74E-08,0.330968751,0.385,0.211,0.001095758
Llgl2,Deiters_3rd_row,4.55E-13,0.330299,0.304,0.121,1.05E-08
Efnb2,Deiters_3rd_row,7.42E-15,0.330146323,0.317,0.117,1.72E-10
Hsp90ab1,Deiters_3rd_row,2.92E-20,0.329989554,1,0.975,6.76E-16
Ubp1,Deiters_3rd_row,4.79E-12,0.327552325,0.261,0.098,1.11E-07
Gng5,Deiters_3rd_row,2.98E-16,0.324647982,0.969,0.883,6.90E-12
Cyb5r3,Deiters_3rd_row,2.55E-09,0.322616058,0.882,0.755,5.91E-05
Bclaf1,Deiters_3rd_row,8.84E-09,0.322493105,0.559,0.344,0.000204623
Prr7,Deiters_3rd_row,1.49E-11,0.322379672,0.516,0.271,3.44E-07
Taldo1,Deiters_3rd_row,3.01E-08,0.321501909,0.814,0.685,0.000696031
Tkt,Deiters_3rd_row,5.14E-09,0.32105344,0.714,0.529,0.000118817
Raly,Deiters_3rd_row,2.40E-10,0.320499797,0.764,0.57,5.56E-06
Phf23,Deiters_3rd_row,2.18E-09,0.320488529,0.484,0.267,5.05E-05
Cux1,Deiters_3rd_row,3.99E-09,0.320469705,0.447,0.245,9.22E-05
Msi1,Deiters_3rd_row,1.10E-10,0.319301035,0.484,0.255,2.55E-06
Mrto4,Deiters_3rd_row,2.66E-08,0.318517695,0.534,0.327,0.000614803
Ntmt1,Deiters_3rd_row,8.97E-11,0.318479614,0.547,0.302,2.08E-06
Emg1,Deiters_3rd_row,1.10E-06,0.315303617,0.671,0.485,0.025367831
Slc25a33,Deiters_3rd_row,1.11E-06,0.314882494,0.503,0.326,0.025580375
Ap2a2,Deiters_3rd_row,4.11E-10,0.314205635,0.41,0.211,9.51E-06
Hnrnpab,Deiters_3rd_row,4.92E-08,0.314142152,0.783,0.591,0.001137791
Cask,Deiters_3rd_row,2.47E-11,0.313949442,0.28,0.111,5.71E-07
Pabpc1,Deiters_3rd_row,3.49E-11,0.313793047,0.95,0.848,8.08E-07
Mrpl44,Deiters_3rd_row,8.20E-09,0.31336015,0.366,0.19,0.00018962
Snrpf,Deiters_3rd_row,1.20E-08,0.312478525,0.615,0.404,0.000277788
Akr1b3,Deiters_3rd_row,3.90E-12,0.312426221,0.391,0.177,9.03E-08
Hmgb3,Deiters_3rd_row,3.51E-08,0.312378213,0.82,0.641,0.000812374
Hnrnpu,Deiters_3rd_row,3.97E-09,0.312206751,0.652,0.465,9.17E-05
Gna13,Deiters_3rd_row,2.00E-08,0.3116539,0.441,0.248,0.000462544
Prmt1,Deiters_3rd_row,2.98E-10,0.310797155,0.901,0.797,6.90E-06
Med27,Deiters_3rd_row,4.34E-09,0.310575162,0.366,0.184,0.000100349
Sox4,Deiters_3rd_row,3.64E-08,0.310385051,0.832,0.682,0.000843075
F2r,Deiters_3rd_row,1.94E-15,0.308081088,0.329,0.119,4.48E-11
Pno1,Deiters_3rd_row,1.77E-09,0.307358967,0.435,0.226,4.11E-05
Bag2,Deiters_3rd_row,8.89E-07,0.304305278,0.559,0.386,0.020563063
Atox1,Deiters_3rd_row,1.46E-08,0.303988058,0.919,0.877,0.000337724
Glyr1,Deiters_3rd_row,9.88E-09,0.303865312,0.553,0.334,0.000228708
Kif1b,Deiters_3rd_row,1.75E-11,0.303579204,0.379,0.173,4.05E-07
Fgfr1,Deiters_3rd_row,5.86E-08,0.300865523,0.677,0.45,0.001354768
Ccdc12,Deiters_3rd_row,3.79E-09,0.2998624,0.807,0.601,8.78E-05
Rsrc2,Deiters_3rd_row,1.88E-07,0.298802918,0.658,0.46,0.004338318
Srsf2,Deiters_3rd_row,2.85E-07,0.298404517,0.87,0.742,0.00658537
Ogfr,Deiters_3rd_row,1.15E-06,0.298271848,0.484,0.314,0.026684656
Zfp219,Deiters_3rd_row,4.54E-11,0.298089815,0.429,0.212,1.05E-06
Snw1,Deiters_3rd_row,4.14E-08,0.297261757,0.671,0.465,0.000958086
Plekhj1,Deiters_3rd_row,8.78E-09,0.297071941,0.696,0.48,0.000203127
Krt8,Deiters_3rd_row,8.76E-08,0.296915953,0.919,0.775,0.0020279
Card19,Deiters_3rd_row,9.00E-09,0.295070981,0.801,0.598,0.000208291
Hsp90aa1,Deiters_3rd_row,5.65E-08,0.29502355,0.826,0.631,0.001308204
Snrnp70,Deiters_3rd_row,1.09E-06,0.294810058,0.708,0.536,0.025330461
Npdc1,Deiters_3rd_row,3.64E-07,0.294590509,0.447,0.273,0.008413135
Gpx4,Deiters_3rd_row,1.91E-08,0.293955283,0.857,0.764,0.000441859
Puf60,Deiters_3rd_row,1.16E-06,0.293793931,0.795,0.635,0.02677443
Gnb1,Deiters_3rd_row,2.54E-08,0.293230856,0.677,0.462,0.000586893
Sec61a1,Deiters_3rd_row,1.18E-07,0.29322333,0.584,0.386,0.002726237
Nsun2,Deiters_3rd_row,2.04E-06,0.292579538,0.323,0.18,0.047308867
Por,Deiters_3rd_row,1.43E-08,0.292063779,0.311,0.152,0.000331248
Agpat2,Deiters_3rd_row,7.94E-13,0.291316256,0.472,0.224,1.84E-08
Arntl,Deiters_3rd_row,4.96E-10,0.290719089,0.286,0.124,1.15E-05
Prrc2b,Deiters_3rd_row,6.81E-09,0.29052891,0.391,0.21,0.000157574
Adgrl1,Deiters_3rd_row,6.02E-11,0.28870693,0.354,0.163,1.39E-06
Bpgm,Deiters_3rd_row,6.84E-10,0.288126958,0.46,0.244,1.58E-05
Ptpn1,Deiters_3rd_row,1.06E-07,0.2875303,0.342,0.18,0.002451644
Wwc1,Deiters_3rd_row,1.28E-08,0.287356258,0.329,0.161,0.000296028
Son,Deiters_3rd_row,3.63E-07,0.286115607,0.801,0.66,0.008396825
Ddx39,Deiters_3rd_row,4.86E-10,0.284919355,0.46,0.242,1.12E-05
Dixdc1,Deiters_3rd_row,1.53E-12,0.283879452,0.292,0.112,3.53E-08
Cyb561,Deiters_3rd_row,2.93E-08,0.28330442,0.391,0.21,0.000678364
Snrpe,Deiters_3rd_row,4.94E-10,0.283224129,0.814,0.582,1.14E-05
9130401M01Rik,Deiters_3rd_row,1.17E-08,0.282759876,0.385,0.196,0.000269845
Hnrnph1,Deiters_3rd_row,5.62E-07,0.281999557,0.484,0.308,0.012991764
Arpc5l,Deiters_3rd_row,5.67E-07,0.280684791,0.683,0.497,0.013107909
Mid1ip1,Deiters_3rd_row,2.18E-08,0.280390102,0.311,0.152,0.000504636
Armc10,Deiters_3rd_row,7.86E-10,0.279912804,0.335,0.157,1.82E-05
Ttyh1,Deiters_3rd_row,1.58E-06,0.278549082,0.472,0.31,0.036466369
Nkd1,Deiters_3rd_row,6.07E-08,0.278242294,0.435,0.252,0.001404593
Gpc1,Deiters_3rd_row,2.11E-09,0.277236481,0.435,0.227,4.89E-05
Atg3,Deiters_3rd_row,1.16E-06,0.27687015,0.478,0.304,0.026751449
Eif4ebp2,Deiters_3rd_row,7.24E-10,0.276545405,0.311,0.14,1.68E-05
Cmas,Deiters_3rd_row,3.43E-09,0.274034969,0.565,0.331,7.92E-05
Col4a1,Deiters_3rd_row,2.85E-13,0.273584206,0.261,0.089,6.60E-09
Prss36,Deiters_3rd_row,4.16E-10,0.272888537,0.267,0.112,9.62E-06
Apex1,Deiters_3rd_row,4.78E-07,0.271874045,0.627,0.455,0.011058839
Aif1l,Deiters_3rd_row,5.23E-10,0.271302397,0.435,0.223,1.21E-05
Asrgl1,Deiters_3rd_row,1.87E-09,0.270148716,0.335,0.159,4.32E-05
Ubxn8,Deiters_3rd_row,2.21E-09,0.269819625,0.273,0.118,5.12E-05
Dtx2,Deiters_3rd_row,1.47E-06,0.268452785,0.273,0.142,0.034122845
Prelid3b,Deiters_3rd_row,8.00E-07,0.268393264,0.491,0.31,0.018518594
Hpcal1,Deiters_3rd_row,1.26E-13,0.268330359,0.516,0.236,2.91E-09
Rassf9,Deiters_3rd_row,4.34E-09,0.268172437,0.398,0.204,0.000100444
Pxmp2,Deiters_3rd_row,1.25E-15,0.268068264,0.292,0.099,2.89E-11
Cnbp,Deiters_3rd_row,4.07E-08,0.267996497,1,0.951,0.000941913
Ddah1,Deiters_3rd_row,1.44E-10,0.267948127,0.379,0.179,3.34E-06
Mrps28,Deiters_3rd_row,1.87E-06,0.266457606,0.658,0.474,0.043164326
Tnnt1,Deiters_3rd_row,5.61E-21,0.26302145,0.261,0.067,1.30E-16
Aspscr1,Deiters_3rd_row,1.46E-06,0.261768997,0.522,0.339,0.033827436
Minos1,Deiters_3rd_row,1.59E-06,0.261606864,0.783,0.633,0.03687411
Dpysl4,Deiters_3rd_row,1.77E-07,0.261603912,0.522,0.32,0.004085815
Sfpq,Deiters_3rd_row,1.73E-08,0.261515466,0.764,0.545,0.000401215
Rbp1,Deiters_3rd_row,1.40E-08,0.261301502,0.752,0.542,0.000323461
Eepd1,Deiters_3rd_row,2.37E-13,0.261233179,0.255,0.088,5.48E-09
Usmg5,Deiters_3rd_row,8.64E-07,0.260804092,0.665,0.476,0.019980237
Tmem199,Deiters_3rd_row,1.79E-10,0.258594184,0.379,0.18,4.14E-06
Nop16,Deiters_3rd_row,7.36E-07,0.25822903,0.286,0.15,0.017025121
1700037H04Rik,Deiters_3rd_row,7.52E-09,0.256588608,0.304,0.145,0.00017404
Ktn1,Deiters_3rd_row,8.56E-07,0.25468057,0.366,0.204,0.019806587
Fam102a,Deiters_3rd_row,4.33E-12,0.25466802,0.267,0.099,1.00E-07
Stxbp3,Deiters_3rd_row,2.40E-07,0.25446255,0.329,0.173,0.005552003
Mta2,Deiters_3rd_row,1.00E-06,0.254454441,0.348,0.195,0.023214199
Stx6,Deiters_3rd_row,7.75E-08,0.254103789,0.553,0.34,0.001792462
A730017C20Rik,Deiters_3rd_row,1.74E-10,0.253802846,0.404,0.194,4.03E-06
Tomm20,Deiters_3rd_row,4.21E-11,0.253707324,0.957,0.926,9.75E-07
Snx5,Deiters_3rd_row,1.55E-06,0.253491432,0.534,0.35,0.035925538
Ptpre,Deiters_3rd_row,2.11E-07,0.253413315,0.292,0.144,0.00488627
Nhsl1,Deiters_3rd_row,2.91E-09,0.253249376,0.255,0.109,6.73E-05
Tmem33,Deiters_3rd_row,6.21E-07,0.251402904,0.478,0.298,0.014370726
Ccer2,HC,0,4.185364011,0.998,0.099,0
Pcp4,HC,0,3.656769955,0.998,0.13,0
Cib2,HC,0,3.137559476,1,0.348,0
Pvalb,HC,0,2.989215015,0.979,0.017,0
Acbd7,HC,0,2.842401591,0.967,0.049,0
Pou4f3,HC,0,2.771478037,0.989,0.011,0
Evl,HC,0,2.736606545,0.999,0.296,0
Lhfpl5,HC,0,2.618546991,0.966,0.011,0
Gm30191,HC,0,2.592526627,0.972,0.043,0
Smpx,HC,0,2.490194162,0.974,0.057,0
Ppp1r27,HC,0,2.394056424,0.904,0.01,0
Calb2,HC,0,2.38905184,0.837,0.019,0
Ccl21a,HC,0,2.354953555,0.869,0.003,0
Rprm,HC,0,2.340938989,0.922,0.107,0
Selenom,HC,0,2.271832654,0.991,0.381,0
Myo6,HC,0,2.180481774,0.986,0.156,0
Espn,HC,0,2.156668127,0.984,0.146,0
Tpm1,HC,0,2.102294868,0.995,0.462,0
Dlk2,HC,0,2.095363112,0.941,0.012,0
Lmo1,HC,0,2.070321955,0.983,0.29,0
Grp,HC,0,2.049331708,0.834,0.006,0
Mlf1,HC,0,1.972893193,0.925,0.114,0
Atoh1,HC,0,1.969771463,0.873,0.011,0
Calm1,HC,0,1.967997407,1,0.883,0
Rasd2,HC,0,1.966948481,0.943,0.008,0
Cd164l2,HC,0,1.937512096,0.949,0.105,0
Lrrc73,HC,0,1.909431266,0.925,0.055,0
Bdnf,HC,0,1.882993643,0.908,0.028,0
Cdk5rap2,HC,0,1.882222495,0.913,0.06,0
BC030867,HC,0,1.878007958,0.794,0.006,0
Hes6,HC,0,1.865929438,0.951,0.245,0
Parp1,HC,0,1.862256687,0.838,0.11,0
Gm2694,HC,0,1.857611936,0.93,0.011,0
Tmem255b,HC,0,1.855433332,0.916,0.006,0
Nefm,HC,0,1.796020941,0.844,0.005,0
Barhl1,HC,0,1.789557337,0.896,0.004,0
Otof,HC,0,1.735015373,0.8,0.006,0
Mkrn2os,HC,0,1.722932415,0.829,0.003,0
Tesc,HC,0,1.719562395,0.846,0.012,0
Cldn14,HC,0,1.69216046,0.85,0.072,0
Sncg,HC,0,1.672244923,0.819,0.021,0
Tomt,HC,0,1.630529609,0.768,0.005,0
Tnc,HC,0,1.622301105,0.926,0.159,0
Hist1h2bc,HC,0,1.620286934,0.741,0.092,0
Casz1,HC,0,1.618930826,0.847,0.009,0
Nbas,HC,0,1.609760278,0.756,0.032,0
Hebp2,HC,0,1.600655689,0.898,0.16,0
Stard10,HC,0,1.573734334,0.951,0.233,0
Cxcl14,HC,0,1.572809859,0.847,0.004,0
Cdkn2d,HC,0,1.556446706,0.87,0.091,0
Dctn3,HC,0,1.5506555,0.994,0.628,0
Anxa4,HC,0,1.539511176,0.844,0.067,0
Ppp1r14a,HC,0,1.537301219,0.831,0.011,0
Camk2b,HC,0,1.537084054,0.796,0.009,0
Trim45,HC,0,1.519477461,0.758,0.055,0
Insc,HC,0,1.500525837,0.77,0.005,0
Calml4,HC,0,1.499429225,0.997,0.716,0
Dynlrb2,HC,0,1.473502549,0.768,0.016,0
Dfnb59,HC,0,1.465294006,0.747,0.013,0
Grxcr1,HC,0,1.455919917,0.634,0.004,0
Rundc3a,HC,0,1.451930707,0.785,0.011,0
Gng8,HC,0,1.419718464,0.763,0.006,0
Mogat1,HC,0,1.399448185,0.753,0.015,0
Mfng,HC,0,1.39162637,0.775,0.008,0
Psat1,HC,0,1.382589669,0.96,0.341,0
Twf2,HC,0,1.380367167,0.855,0.095,0
Chrna9,HC,0,1.379580356,0.716,0.004,0
Calm2,HC,0,1.375490389,0.999,0.918,0
Evc2,HC,0,1.362980682,0.74,0.049,0
Tmcc2,HC,0,1.359145931,0.8,0.025,0
Pgam2,HC,0,1.346695968,0.459,0.013,0
Lhx3,HC,0,1.341757575,0.723,0.003,0
Rnf182,HC,0,1.337282446,0.812,0.036,0
Nefl,HC,0,1.336098397,0.601,0.002,0
Fscn2,HC,0,1.335749157,0.746,0.013,0
Ormdl3,HC,0,1.317995642,0.948,0.358,0
Tjap1,HC,0,1.313347404,0.871,0.161,0
Trnp1,HC,0,1.312614577,0.715,0.025,0
Rbm24,HC,0,1.306290346,0.767,0.024,0
mt-Rnr2,HC,2.07E-300,1.305242246,0.909,0.478,4.79E-296
Mthfd2,HC,0,1.305059629,0.783,0.09,0
Mpc1,HC,0,1.303599002,0.915,0.59,0
Defb25,HC,0,1.302342981,0.685,0.006,0
Ankrd24,HC,0,1.296063689,0.811,0.095,0
Hpcal1,HC,0,1.270916226,0.875,0.188,0
Snrnp25,HC,0,1.256588703,0.837,0.251,0
B3gnt4,HC,0,1.253735611,0.7,0.032,0
Scg5,HC,0,1.245721597,0.862,0.193,0
Gfi1,HC,0,1.237495947,0.696,0.002,0
Cpe,HC,0,1.233257308,0.921,0.389,0
S100a13,HC,0,1.225883221,0.822,0.15,0
Serf1,HC,0,1.217704424,0.942,0.487,0
Rab3ip,HC,0,1.212603361,0.901,0.268,0
Mgst3,HC,0,1.212074259,0.995,0.775,0
Dpysl3,HC,0,1.21124499,0.761,0.057,0
Acot7,HC,0,1.209905279,0.81,0.137,0
Slc52a3,HC,0,1.205361779,0.675,0.006,0
Jag2,HC,0,1.203610854,0.74,0.017,0
Svbp,HC,0,1.201940462,0.978,0.68,0
Miat,HC,0,1.191194111,0.738,0.007,0
Apba1,HC,0,1.188111667,0.691,0.003,0
R3hdml,HC,0,1.175954595,0.605,0.004,0
Rsph1,HC,0,1.170832016,0.704,0.039,0
Syne4,HC,0,1.167456229,0.906,0.342,0
Lmo7,HC,0,1.166332608,0.914,0.283,0
Pkig,HC,0,1.165520911,0.984,0.659,0
Glrx3,HC,0,1.162165716,0.963,0.676,0
Cetn2,HC,0,1.154157639,0.932,0.425,0
Elmod1,HC,0,1.15265749,0.604,0.002,0
Irx2,HC,0,1.149703069,0.631,0.008,0
Nrxn3,HC,0,1.127061177,0.694,0.043,0
Hist3h2ba,HC,7.12E-291,1.118034582,0.859,0.44,1.65E-286
Dnaic2,HC,0,1.117887238,0.642,0.003,0
Myo7a,HC,0,1.109099131,0.641,0.005,0
Usp46,HC,0,1.101263055,0.819,0.152,0
Nme5,HC,0,1.097823895,0.731,0.093,0
Kif19a,HC,0,1.076394374,0.693,0.046,0
Eps8l2,HC,0,1.076286747,0.719,0.064,0
Chga,HC,0,1.074434646,0.604,0.003,0
Fer1l6,HC,0,1.066584448,0.584,0.002,0
Chrna10,HC,0,1.06657619,0.638,0.005,0
Paqr9,HC,0,1.063630008,0.626,0.012,0
Rogdi,HC,0,1.062487828,0.793,0.249,0
Pcp4l1,HC,0,1.062180535,0.588,0.04,0
Wdr24,HC,0,1.056630279,0.586,0.033,0
Clec18a,HC,0,1.05223203,0.655,0.026,0
Fez1,HC,0,1.050640948,0.647,0.012,0
Cfap126,HC,0,1.0496347,0.57,0.031,0
Arl4a,HC,0,1.047121717,0.884,0.317,0
Ank3,HC,0,1.032842226,0.741,0.128,0
1110017D15Rik,HC,0,1.032190283,0.562,0.008,0
Hist1h2al,HC,0,1.031527078,0.65,0.123,0
Afdn,HC,0,1.024656101,0.741,0.115,0
Mycl,HC,0,1.022419149,0.786,0.154,0
Cfap206,HC,0,1.022312321,0.595,0.003,0
Hacd3,HC,0,1.021417111,0.755,0.156,0
mt-Nd4,HC,0,1.020495576,0.995,0.979,0
Raver2,HC,0,1.02048826,0.696,0.065,0
A730017C20Rik,HC,0,1.015845587,0.76,0.151,0
Gm11837,HC,0,1.011205399,0.526,0.06,0
Xirp2,HC,0,1.006398318,0.611,0.002,0
Nfic,HC,0,1.005707482,0.698,0.108,0
Gpx2,HC,0,1.003019216,0.493,0.05,0
Wwc1,HC,0,1.002301762,0.743,0.116,0
mt-Nd2,HC,0,0.996059105,0.968,0.723,0
Pdcd7,HC,0,0.995854704,0.704,0.114,0
Gipc3,HC,0,0.988271638,0.598,0.002,0
Cnih2,HC,0,0.988004525,0.651,0.078,0
Gns,HC,0,0.981845442,0.711,0.135,0
Triobp,HC,0,0.981646146,0.885,0.348,0
Wbp1,HC,0,0.977562915,0.94,0.585,0
Mycbpap,HC,0,0.971910667,0.535,0.006,0
Grxcr2,HC,0,0.967759587,0.573,0.001,0
Stmn3,HC,0,0.965555763,0.54,0.002,0
Mreg,HC,0,0.965392051,0.643,0.015,0
Cox6a1,HC,0,0.961820157,0.997,0.855,0
E130308A19Rik,HC,0,0.95013484,0.725,0.151,0
Pitpna,HC,0,0.947089517,0.829,0.281,0
Espnl,HC,0,0.943892679,0.576,0.004,0
Smtn,HC,0,0.942624265,0.591,0.024,0
Lrrc10b,HC,0,0.933244196,0.557,0.005,0
Ckb,HC,0,0.932753581,0.981,0.765,0
Cisd1,HC,5.73E-262,0.928777902,0.899,0.517,1.33E-257
Rab3a,HC,0,0.928110817,0.69,0.097,0
St8sia2,HC,0,0.927801285,0.57,0.034,0
Strbp,HC,0,0.92748425,0.81,0.239,0
Calb1,HC,7.53E-241,0.925543418,0.968,0.539,1.74E-236
Nme1,HC,0,0.922925712,0.976,0.695,0
Tmem91,HC,0,0.919605799,0.474,0.006,0
Pak3,HC,0,0.916366344,0.642,0.076,0
Pifo,HC,0,0.916089417,0.556,0.011,0
Pdzrn3,HC,0,0.907106469,0.564,0.013,0
Ubac1,HC,0,0.904708407,0.753,0.175,0
Rbfox2,HC,0,0.901970444,0.67,0.094,0
Egr4,HC,4.84E-204,0.901500259,0.432,0.106,1.12E-199
Chchd10,HC,1.98E-214,0.901125296,0.862,0.496,4.58E-210
2510002D24Rik,HC,0,0.899736646,0.843,0.302,0
Tmem183a,HC,0,0.897134804,0.836,0.282,0
Pacsin1,HC,0,0.895669925,0.568,0.029,0
Tspan13,HC,0,0.892890082,0.981,0.614,0
Ndufaf6,HC,0,0.890283348,0.617,0.094,0
Srp14,HC,0,0.889409669,0.993,0.848,0
Tmem107,HC,0,0.889351434,0.635,0.136,0
Dctn1,HC,0,0.88852401,0.76,0.193,0
Atp2b1,HC,1.86E-300,0.884129821,0.969,0.658,4.31E-296
Faim2,HC,0,0.878076137,0.513,0.003,0
Cpne9,HC,0,0.875528963,0.481,0.002,0
Txnrd1,HC,0,0.868617707,0.786,0.223,0
Selenow,HC,0,0.867586213,1,0.963,0
Nrxn2,HC,0,0.866783967,0.518,0.005,0
Gm12892,HC,3.85E-284,0.865387439,0.922,0.529,8.92E-280
Adamts13,HC,0,0.85905071,0.403,0.002,0
Ndufv3,HC,3.88E-258,0.856567046,0.857,0.449,8.99E-254
Rdh12,HC,0,0.855350464,0.496,0.008,0
St3gal5,HC,0,0.853437152,0.716,0.152,0
Psph,HC,3.57E-106,0.85266834,0.786,0.564,8.26E-102
Ypel3,HC,0,0.852104701,0.977,0.717,0
Plekho1,HC,0,0.850432657,0.54,0.036,0
Uqcr11,HC,3.92E-254,0.847689945,0.945,0.668,9.07E-250
Fsd1l,HC,0,0.846447469,0.572,0.043,0
1110008P14Rik,HC,1.52E-291,0.845028753,0.841,0.358,3.52E-287
Cdc25b,HC,0,0.844078942,0.497,0.014,0
Tubb4b,HC,3.52E-293,0.843010672,0.881,0.396,8.15E-289
Clrn1,HC,0,0.839839539,0.521,0.004,0
Atp11a,HC,0,0.83891783,0.568,0.041,0
Fcho1,HC,0,0.83627634,0.572,0.03,0
Kncn,HC,0,0.83608837,0.457,0.001,0
Ica1l,HC,0,0.833375081,0.491,0.017,0
Gnmt,HC,0,0.832668405,0.522,0.027,0
Sema5b,HC,0,0.832018519,0.545,0.015,0
Rab11fip1,HC,0,0.829614946,0.569,0.053,0
Ift20,HC,1.35E-262,0.823700841,0.942,0.621,3.13E-258
Reep5,HC,4.57E-250,0.823556002,0.94,0.59,1.06E-245
Tmie,HC,0,0.820589885,0.55,0.032,0
Scn1b,HC,0,0.819016455,0.503,0.013,0
Ndufa8,HC,1.23E-297,0.818762453,0.964,0.701,2.85E-293
Bex2,HC,1.47E-285,0.81847223,0.973,0.642,3.41E-281
Cacna1d,HC,0,0.816102241,0.509,0.014,0
S100a1,HC,2.12E-223,0.815152363,0.943,0.488,4.90E-219
Nhlh1,HC,0,0.813714709,0.494,0.002,0
Runx1t1,HC,0,0.811362193,0.5,0.006,0
Srrm4,HC,0,0.810134053,0.505,0.004,0
Rab15,HC,4.05E-296,0.809023018,0.714,0.22,9.37E-292
Lnx2,HC,0,0.80841368,0.529,0.028,0
Wwc2,HC,0,0.806745129,0.674,0.165,0
